City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Cape Town,ZA,2022-11-28 23:41:28,-33.9258,18.4232,75.38,71,0,3.0
62,Sandpoint,US,2022-11-28 23:38:27,48.2766,-116.5533,27.72,92,100,10.36
63,Morehead,US,2022-11-28 23:43:27,37.2711,-87.1764,48.99,87,100,0.0
64,Basco,PH,2022-11-28 23:43:27,20.4487,121.9702,81.57,79,95,14.83
65,Saldanha,ZA,2022-11-28 23:43:27,-33.0117,17.9442,68.05,58,84,2.28
66,Bluff,NZ,2022-11-28 23:37:51,-46.6,168.3333,59.81,80,94,13.11
67,Tabuk,PH,2022-11-28 23:43:28,17.4189,121.4443,78.6,75,8,3.87
68,Boa Vista,BR,2022-11-28 23:43:29,2.8197,-60.6733,78.78,83,75,3.44
69,Cabedelo,BR,2022-11-28 23:43:29,-6.9811,-34.8339,79.47,75,25,13.71
70,San Carlos De Bariloche,AR,2022-11-28 23:40:33,-41.1456,-71.3082,67.75,26,0,21.85
71,Castro,BR,2022-11-28 23:39:04,-24.7911,-50.0119,58.93,98,97,11.9
72,Broken Hill,AU,2022-11-28 23:43:30,-31.95,141.4333,64.24,44,0,16.42
73,Busselton,AU,2022-11-28 23:37:55,-33.65,115.3333,70.52,46,0,11.52
74,Punta Arenas,CL,2022-11-28 23:43:30,-53.15,-70.9167,57.31,51,40,21.85
75,Qaanaaq,GL,2022-11-28 23:37:49,77.484,-69.3632,-10.28,94,81,5.77
76,Tupik,RU,2022-11-28 23:43:31,54.4253,119.9327,-23.62,98,100,3.47
77,Haines Junction,CA,2022-11-28 23:43:31,60.7522,-137.5108,-2.25,84,48,2.3
78,Butaritari,KI,2022-11-28 23:39:09,3.0707,172.7902,80.74,76,64,8.52
79,Xifeng,CN,2022-11-28 23:43:31,42.7372,124.7222,10.81,49,56,17.4
80,Kruisfontein,ZA,2022-11-28 23:39:20,-34.0033,24.7314,58.6,94,22,6.91
81,Graciano Sanchez,MX,2022-11-28 23:43:32,23.9167,-99.2833,79.75,59,2,1.9
82,Sao Filipe,CV,2022-11-28 23:43:32,14.8961,-24.4956,75.58,64,73,10.07
83,Hithadhoo,MV,2022-11-28 23:37:53,-0.6,73.0833,80.87,75,22,7.18
84,Iqaluit,CA,2022-11-28 23:43:33,63.7506,-68.5145,-4.27,77,100,40.29
85,Palu,ID,2022-11-28 23:43:33,-0.8917,119.8707,82.65,75,99,1.5
86,Skawina,PL,2022-11-28 23:43:33,49.9752,19.8287,35.94,85,3,5.75
87,Belmonte,BR,2022-11-28 23:43:34,-15.8631,-38.8828,74.93,95,100,7.81
88,Hermanus,ZA,2022-11-28 23:39:06,-34.4187,19.2345,67.8,83,4,9.17
89,Port Alfred,ZA,2022-11-28 23:43:34,-33.5906,26.891,66.18,84,6,5.01
90,Port-Cartier,CA,2022-11-28 23:44:35,50.0334,-66.8654,22.68,72,19,12.01
91,Hilo,US,2022-11-28 23:36:10,19.7297,-155.09,79.61,94,100,6.91
92,Norman Wells,CA,2022-11-28 23:44:35,65.282,-126.8329,-21.96,76,75,0.0
93,Mar Del Plata,AR,2022-11-28 23:44:35,-38.0023,-57.5575,71.83,95,59,17.0
94,Port Augusta,AU,2022-11-28 23:44:36,-32.5,137.7667,66.76,48,19,12.3
95,Conde,BR,2022-11-28 23:44:36,-7.2597,-34.9075,78.26,78,20,9.22
96,Chuy,UY,2022-11-28 23:37:48,-33.6971,-53.4616,66.88,93,4,11.12
97,Saryozek,KZ,2022-11-28 23:44:37,44.3583,77.9753,14.41,70,97,4.7
98,Northam,GB,2022-11-28 23:44:37,51.0333,-4.2167,47.39,85,10,8.12
99,Ansbach,DE,2022-11-28 23:44:37,49.3,10.5833,39.94,93,0,5.75
100,Ulkan,RU,2022-11-28 23:44:38,57.243,107.3223,-6.12,96,100,6.38
101,Baykit,RU,2022-11-28 23:44:38,61.67,96.37,-6.18,97,100,4.03
102,Pisco,PE,2022-11-28 23:44:38,-13.7,-76.2167,69.85,78,100,12.66
103,Bodden Town,KY,2022-11-28 23:44:39,19.2833,-81.25,82.4,77,20,9.22
104,Kapaa,US,2022-11-28 23:40:26,22.0752,-159.319,78.78,89,100,6.91
105,Tunceli,TR,2022-11-28 23:43:27,39.1083,39.5471,44.28,69,85,3.29
106,Puerto Narino,CO,2022-11-28 23:44:39,-3.7703,-70.3831,73.94,96,93,2.93
107,Palmer,US,2022-11-28 23:44:40,42.1584,-72.3287,44.85,64,75,5.75
108,Solnechnyy,RU,2022-11-28 23:44:40,50.7214,136.6319,10.29,90,100,5.35
109,Karratha,AU,2022-11-28 23:44:40,-20.7377,116.8463,84.34,47,22,16.17
110,Hamilton,US,2022-11-28 23:40:30,39.1834,-84.5333,46.76,87,100,4.61
111,Ulundi,ZA,2022-11-28 23:44:41,-28.3352,31.4162,60.21,92,97,0.56
112,Muros,ES,2022-11-28 23:41:39,42.7762,-9.0603,52.09,94,99,6.2
113,Tomatlan,MX,2022-11-28 23:44:41,19.9333,-105.25,76.69,67,4,3.8
114,Lebane,RS,2022-11-28 23:44:42,42.9239,21.7375,32.59,92,29,1.74
115,Vardo,NO,2022-11-28 23:44:42,70.3705,31.1107,33.78,80,100,10.36
116,Olafsvik,IS,2022-11-28 23:44:42,64.8945,-23.7142,41.36,76,68,18.12
117,Mirnyy,RU,2022-11-28 23:44:43,62.5353,113.9611,-33.77,73,78,1.99
118,Rio Gallegos,AR,2022-11-28 23:44:43,-51.6226,-69.2181,60.85,72,75,8.05
119,Igarka,RU,2022-11-28 23:44:43,67.4667,86.5833,2.1,97,99,6.62
120,Seddon,AU,2022-11-28 23:44:44,-37.8068,144.8916,65.61,61,75,14.97
121,Upernavik,GL,2022-11-28 23:39:05,72.7868,-56.1549,10.33,97,97,18.07
122,Novhorodka,UA,2022-11-28 23:44:44,48.3651,32.6578,37.42,82,100,10.07
123,Cidreira,BR,2022-11-28 23:41:37,-30.1811,-50.2056,69.62,86,6,17.76
124,Nabire,ID,2022-11-28 23:44:44,-3.3667,135.4833,79.83,77,98,1.7
125,Port Blair,IN,2022-11-28 23:41:44,11.6667,92.75,77.04,100,20,2.3
